"mean","max","min","ninety_pct","sd","mean_route","min_route","max_route","ninety_pct_route","sd_route","zone"
1309.60646228702,6420.476563,0.884073853,1938.056726,730.136932704276,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1362.1610905091,7197.00293,0.348439664,2135.1755131,849.686919354269,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1387.93297145391,14927.85645,13.28293228,2000.68855,1053.85402562249,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1312.24948070413,7497.791016,0.884073853,1938.9879514,779.118003959145,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1353.77244689049,15151.03906,0.348439664,1975.1579709,957.089191633137,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1306.06646113982,15151.03906,50.35697937,1929.2167973,919.370272916429,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1252.8338059259,4957.487305,0.884073853,1782.5291627,603.808866712363,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1311.38241115794,6356.217773,2.021804094,1878.4657348,758.742500471442,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1309.50523620335,6977.071777,50.35697937,1879.085254,822.624788767856,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1288.86727554278,7307.309082,0.884073853,1895.9687014,680.969859821133,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1336.15652058615,6399.286621,20.77679062,1887.0335815,701.240310228474,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1269.48875215048,7197.00293,2.021804094,1814.4157836,718.769180175603,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1327.30440626215,7134.962402,0.884073853,1928.6339479,782.276298328418,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1217.26164636127,5615.041504,50.35697937,1695.8532105,583.410372434779,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1331.75426667706,15151.03906,8.436494827,1953.5803712,957.989541992421,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1323.5093506786,6399.286621,2.021804094,1993.2041016,771.080955061015,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1286.94414515512,7134.962402,13.28293228,1902.7820433,697.871134398257,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1284.9699603932,14927.85645,0.884073853,1828.0453249,857.131159167999,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1320.05930920422,15151.03906,8.436494827,1855.0531984,921.14943110952,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1331.9192651334,14927.85645,0.884073853,1846.7512331,920.952489682757,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1259.77104814117,15151.03906,32.0443573,1804.0993039,849.298430567801,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1356.4052388314,15151.03906,2.021804094,1921.8609866,1028.37339875308,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1401.20876391288,15151.03906,0.348439664,2174.7192624,1178.68389136123,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1322.26120429003,15151.03906,8.436494827,1936.1539183,935.313027108169,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1353.5838508171,7197.00293,2.367318869,2015.592969,715.686642259002,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1313.86072099413,15151.03906,2.021804094,1862.6288578,969.719267346805,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1328.67682625314,6420.476563,13.28293228,1989.856995,726.791495517881,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1320.13038529935,7497.791016,0.348439664,2088.7733398,747.376380894006,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1305.18499894107,6399.286621,226.5518188,1891.2734864,678.976019937248,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1321.26478415569,6983.091797,13.28293228,2020.483887,716.133212952694,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1287.89319829128,6983.091797,2.021804094,1861.1484989,699.637000762866,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1291.17394194066,7497.791016,2.021804094,1935.4944214,732.537669493289,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1257.94294552345,6420.476563,8.436494827,1784.8036625,643.740235012183,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1327.58100838806,14927.85645,13.28293228,1891.5500001,927.700584953372,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1330.82487983908,7064.84082,2.021804094,1931.0210815,754.174433205081,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1309.081548071,6356.217773,0.348439664,1926.226697,696.157680977164,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1294.28563714663,15151.03906,0.348439664,1793.8385011,934.420164176113,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
