OID_,Value,SrcID_Feat,SrcID_Rast
1,848.433898925781250,0,0
2,680.773925781250000,-2147483648,0
3,974.868957519531250,0,0
4,987.119506835937500,-2147483648,0
5,863.247375488281250,0,0
6,1501.647583007812500,0,0
7,1289.049926757812500,0,0
8,1037.967895507812500,-2147483648,0
9,980.496276855468750,0,0
10,780.198791503906250,0,0
11,1856.066040039062500,0,0
12,1287.148925781250000,0,0
13,929.459289550781250,-2147483648,0
14,1080.487060546875000,0,0
15,765.270935058593750,0,0
16,1196.004760742187500,0,0
17,941.157592773437500,0,0
18,1757.627319335937500,0,0
19,1718.612426757812500,0,0
20,1437.221435546875000,0,0
21,1138.025634765625000,-2147483648,0
22,1100.418579101562500,0,0
23,774.835571289062500,0,0
24,950.292358398437500,0,0
25,1093.112548828125000,0,0
26,714.325195312500000,0,0
27,1775.461059570312500,0,0
28,1780.374511718750000,0,0
29,1653.856933593750000,0,0
30,1438.765747070312500,-2147483648,0
31,1019.213806152343750,0,0
32,814.337219238281250,0,0
33,889.667236328125000,0,0
34,784.492065429687500,0,0
35,663.105651855468750,0,0
36,992.061584472656250,-2147483648,0
37,876.853210449218750,0,0
38,1631.154663085937500,0,0
39,1917.522949218750000,0,0
40,1986.329589843750000,0,0
41,1840.077148437500000,0,0
42,1586.042846679687500,-2147483648,0
43,961.315490722656250,0,0
44,806.776306152343750,0,0
45,794.830871582031250,0,0
46,738.666687011718750,0,0
47,907.113525390625000,0,0
48,744.190185546875000,-2147483648,0
49,1588.602905273437500,0,0
50,724.409851074218750,0,0
51,1834.976196289062500,0,0
52,1992.403930664062500,0,0
53,2470.529785156250000,0,0
54,1952.644165039062500,0,0
55,1467.584472656250000,-2147483648,0
56,1113.149658203125000,0,0
57,936.090087890625000,0,0
58,784.158447265625000,0,0
59,826.358642578125000,0,0
60,712.276489257812500,0,0
61,784.359313964843750,-2147483648,0
62,1497.772460937500000,0,0
63,1549.698486328125000,0,0
64,1706.543457031250000,0,0
65,1724.274902343750000,0,0
66,1622.230957031250000,0,0
67,1881.680541992187500,0,0
68,2543.586425781250000,0,0
69,2669.917236328125000,0,0
70,1989.174438476562500,0,0
71,1512.591918945312500,-2147483648,0
72,1190.669677734375000,0,0
73,795.655456542968750,0,0
74,813.871215820312500,0,0
75,697.662841796875000,0,0
76,667.014587402343750,0,0
77,950.271179199218750,-2147483648,0
78,1183.693847656250000,0,0
79,1251.985229492187500,0,0
80,1240.715576171875000,0,0
81,2718.124511718750000,0,0
82,1968.505981445312500,0,0
83,1774.378784179687500,0,0
84,1965.630004882812500,0,0
85,3105.823486328125000,0,0
86,3149.347167968750000,0,0
87,2022.476318359375000,0,0
88,1461.854125976562500,-2147483648,0
89,1111.027954101562500,0,0
90,742.029846191406250,0,0
91,623.989807128906250,0,0
92,651.059448242187500,0,0
93,820.398925781250000,0,0
94,827.702026367187500,-2147483648,0
95,759.872436523437500,0,0
96,2051.017822265625000,0,0
97,2594.546875000000000,0,0
98,2031.673583984375000,0,0
99,815.587890625000000,0,0
100,1532.589843750000000,-2147483648,0
101,1323.673339843750000,0,0
102,1507.080078125000000,0,0
103,1912.779541015625000,0,0
104,5571.789062500000000,0,0
105,2190.968261718750000,0,0
106,2053.297119140625000,0,0
107,1258.152709960937500,-2147483648,0
108,1089.161499023437500,0,0
109,682.538146972656250,0,0
110,758.369140625000000,0,0
111,740.707458496093750,0,0
112,920.424072265625000,0,0
113,707.877258300781250,-2147483648,0
114,1606.971069335937500,0,0
115,1860.629516601562500,0,0
116,1878.946044921875000,0,0
117,1472.573364257812500,0,0
118,1320.440063476562500,0,0
119,914.999755859375000,-2147483648,0
120,1132.519653320312500,0,0
121,808.594970703125000,0,0
122,1886.695312500000000,0,0
123,2335.001464843750000,0,0
124,2409.100830078125000,0,0
125,4425.390136718750000,0,0
126,3381.264892578125000,0,0
127,1610.231079101562500,0,0
128,1396.848510742187500,-2147483648,0
129,1076.039550781250000,0,0
130,606.951782226562500,0,0
131,816.681823730468750,0,0
132,771.749694824218750,0,0
133,954.806701660156250,0,0
134,1235.686889648437500,-2147483648,0
135,1278.664184570312500,0,0
136,1252.736572265625000,0,0
137,1724.827758789062500,0,0
138,1414.198242187500000,0,0
139,1386.368286132812500,0,0
140,766.973449707031250,-2147483648,0
141,749.559265136718750,0,0
142,790.894775390625000,0,0
143,1286.947143554687500,0,0
144,3001.950195312500000,0,0
145,2858.248046875000000,0,0
146,2918.816406250000000,0,0
147,2482.438964843750000,0,0
148,2136.567626953125000,0,0
149,2127.535400390625000,0,0
150,1450.696044921875000,-2147483648,0
151,812.049926757812500,0,0
152,985.834167480468750,0,0
153,903.668945312500000,0,0
154,1037.823974609375000,0,0
155,868.395507812500000,0,0
156,850.128112792968750,-2147483648,0
157,1617.676513671875000,0,0
158,1260.303466796875000,0,0
159,1122.495727539062500,0,0
160,1055.635009765625000,-2147483648,0
161,435.829040527343750,0,0
162,853.280700683593750,0,0
163,1205.581542968750000,0,0
164,1176.173828125000000,0,0
165,1166.676147460937500,0,0
166,4315.981933593750000,0,0
167,2667.063476562500000,0,0
168,2701.626708984375000,0,0
169,1968.415283203125000,0,0
170,1554.156005859375000,0,0
171,1867.882446289062500,0,0
172,1823.314208984375000,0,0
173,1697.629394531250000,-2147483648,0
174,1227.490478515625000,0,0
175,1213.408203125000000,0,0
176,1409.601562500000000,0,0
177,773.601196289062500,0,0
178,853.742370605468750,0,0
179,821.931518554687500,0,0
180,994.016357421875000,-2147483648,0
181,472.722473144531250,0,0
182,923.902770996093750,0,0
183,1114.894775390625000,0,0
184,1170.542968750000000,0,0
185,1235.324218750000000,0,0
186,1378.364746093750000,0,0
187,2867.813720703125000,0,0
188,2806.008789062500000,0,0
189,1897.049438476562500,0,0
190,1576.954467773437500,0,0
191,1603.174316406250000,0,0
192,1611.547729492187500,0,0
193,1488.633666992187500,0,0
194,1685.324462890625000,-2147483648,0
195,1684.451660156250000,0,0
196,1554.973754882812500,0,0
197,1076.107055664062500,0,0
198,722.262695312500000,0,0
199,958.492980957031250,0,0
200,863.927673339843750,0,0
201,1423.354003906250000,0,0
202,1102.299316406250000,0,0
203,1320.000854492187500,0,0
204,525.430419921875000,0,0
205,1629.097778320312500,0,0
206,1665.875244140625000,0,0
207,1823.891357421875000,0,0
208,1622.259277343750000,-2147483648,0
209,2644.326416015625000,0,0
210,2280.570312500000000,0,0
211,2106.217773437500000,0,0
212,2151.753662109375000,0,0
213,1722.292968750000000,0,0
214,1507.683349609375000,0,0
215,1588.043457031250000,0,0
216,1546.538208007812500,0,0
217,1102.185302734375000,-2147483648,0
218,2214.017089843750000,0,0
219,1454.616699218750000,0,0
220,1333.569580078125000,0,0
221,1131.268554687500000,0,0
222,842.058776855468750,0,0
223,572.617248535156250,-2147483648,0
224,1557.153564453125000,0,0
225,950.770874023437500,0,0
226,617.838378906250000,0,0
227,648.657897949218750,0,0
228,959.222167968750000,-2147483648,0
229,932.004211425781250,0,0
230,2008.006835937500000,0,0
231,1606.411376953125000,-2147483648,0
232,459.768432617187500,0,0
233,2416.502441406250000,0,0
234,1900.350219726562500,0,0
235,1266.890991210937500,0,0
236,2459.204345703125000,0,0
237,2271.528076171875000,0,0
238,1107.929565429687500,0,0
239,982.403564453125000,0,0
240,1993.582275390625000,0,0
241,1673.817626953125000,-2147483648,0
242,1376.874633789062500,0,0
243,2638.252929687500000,0,0
244,1756.903930664062500,0,0
245,908.557189941406250,0,0
246,805.206115722656250,0,0
247,1025.660888671875000,-2147483648,0
248,1151.699584960937500,0,0
249,572.177062988281250,0,0
250,541.520935058593750,0,0
251,645.202514648437500,0,0
252,866.031066894531250,-2147483648,0
253,966.689270019531250,0,0
254,1090.114746093750000,0,0
255,1344.418457031250000,0,0
256,1395.351074218750000,0,0
257,1005.710327148437500,0,0
258,2283.316162109375000,0,0
259,1476.917114257812500,-2147483648,0
260,721.155395507812500,0,0
261,533.190917968750000,-2147483648,0
262,243.681976318359375,0,0
263,2157.989746093750000,0,0
264,1739.323486328125000,0,0
265,1165.710693359375000,0,0
