OID_,Value,SrcID_Feat,SrcID_Rast
1,816.706054687500000,0,0
2,1504.049438476562500,0,0
3,1053.832641601562500,0,0
4,1525.692749023437500,0,0
5,1362.484497070312500,0,0
6,1288.135742187500000,0,0
7,1009.976196289062500,0,0
8,858.647338867187500,0,0
9,1148.024414062500000,0,0
10,1041.596069335937500,0,0
11,694.346923828125000,0,0
12,863.397033691406250,0,0
13,1072.146606445312500,0,0
14,1109.741821289062500,0,0
15,1015.543212890625000,0,0
16,1242.224609375000000,0,0
17,1287.434936523437500,0,0
18,1095.876831054687500,0,0
19,1992.227172851562500,-2147483648,0
20,1256.916259765625000,0,0
21,2549.481933593750000,-2147483648,0
22,895.054382324218750,0,0
23,1780.911621093750000,0,0
24,3105.348876953125000,-2147483648,0
25,1211.366333007812500,-2147483648,0
26,621.497558593750000,-2147483648,0
27,490.422851562500000,0,0
28,964.477172851562500,0,0
29,1078.111938476562500,0,0
30,2244.431152343750000,0,0
31,619.806335449218750,-2147483648,0
32,749.039245605468750,-2147483648,0
33,413.856536865234375,0,0
34,879.338378906250000,0,0
35,1685.775146484375000,0,0
36,2440.691894531250000,-2147483648,0
37,492.018890380859375,-2147483648,0
38,1067.777099609375000,0,0
39,1253.185180664062500,0,0
40,1010.779663085937500,0,0
41,1356.610229492187500,0,0
42,2022.947631835937500,0,0
43,1655.968017578125000,0,0
44,2206.361083984375000,0,0
45,293.569030761718750,0,0
46,1651.518310546875000,0,0
47,1320.362426757812500,0,0
48,1806.157958984375000,0,0
49,1640.709472656250000,0,0
50,386.759918212890625,0,0
51,63.315578460693359,0,0
52,16.466661453247070,0,0
53,1073.287719726562500,0,0
54,1221.587768554687500,0,0
55,1816.225219726562500,0,0
56,1662.080932617187500,0,0
57,702.289367675781250,0,0
58,1631.187988281250000,0,0
59,1164.699951171875000,0,0
60,1023.213500976562500,0,0
61,734.182861328125000,0,0
62,179.218322753906250,0,0
63,116.640037536621094,0,0
64,1321.711303710937500,0,0
65,1604.475219726562500,0,0
66,1289.137451171875000,0,0
67,705.557128906250000,0,0
68,382.769348144531250,0,0
69,87.862220764160156,0,0
70,938.448486328125000,0,0
71,626.748474121093750,0,0
72,249.903198242187500,0,0
73,159.680038452148438,0,0
